Address,Attractions,Great_for_walker,Homestay_name,Price_range,Restaurant_nearby,Review,Review_number,Travel_types,number_images_Traveler,number_room_dining,number_room_suite
"52A Le Thanh Tong, Cam Chau, Hoi An Vietnam",7,55,Rice Field Homestay & Apartments,"₫409,091, - ,₫568,182",46,Excellent,139 reviews,"Families,Couples,Solo,Business,Friends"," (,111,) ",2,2
"487 Cua Dai St., Hoi An Vietnam",129,94,Eden Homestay,"₫386,364, - ,₫568,182",116,Excellent,165 reviews,"Families,Couples,Solo,Business,Friends"," (,70,) ",4,3
"86 Nguyen Chi Thanh, To 9 Thon, Trang Keo, C_m Ha, Hoi An 560000 Vietnam",4,40,Villa Loan,"₫522,727, - ,₫863,636",16,Excellent,24 reviews,"Families,Couples,Solo,Business,Friends"," (,10,) ",1,10
"234/3 Tran Nhan Tong Street, Cam Thanh Commune Hamlet 4, Cam Thanh Commune, Hoi An 560000 Vietnam",21,58,Pink Tulip Hoi An,"₫295,455, - ,₫454,545",106,Excellent,21 reviews,"Families,Couples,Solo,Business,Friends"," (,64,) ",3,4
"183/3 Le Thanh Tong Cam Chau, Hoi An 560000 Vietnam",7,70,Ms Tri House Homestay,"₫272,727, - ,₫340,909",32,Excellent,31 reviews,"Families,Couples,Solo,Business,Friends"," (,10,) ",22,10
"13 Hamlet, Dong Na Village, Cam Ha Commune, Hoi An 560000 Vietnam",,,Ancient River Villa,"₫409,091, - ,₫681,818",,Excellent,20 reviews,"Families,Couples,Solo,Business,Friends"," (,14,) ",8,14
"147 Cua Dai Street Cam Chau Ward, Hoi An 560000 Vietnam",15,79,River Waves Villa,"₫386,364, - ,₫772,727",53,Excellent,31 reviews,"Families,Couples,Solo,Business,Friends"," (,41,) ",3,9
"Nguyen Phuc Tan St., Hoi An Vietnam",172,100,Riverside Plum Garden Homestay,"₫340,909, - ,₫1,545,455",282,Excellent,24 reviews,"Families,Couples,Solo,Business,Friends"," (,27,) ",15,27
"Trung Ha Village, Cam Kim Ward, Hoi An 564615 Vietnam",,,Viet Nhat Homestay,"₫227,273, - ,₫522,727",,Excellent,9 reviews,"Families,Couples,Solo,Business,Friends"," (,1,) ",2,12
"147 Nguyen Phan Vinh St Cam An Ward, An Bang Beach, Hoi An 560000 Vietnam",5,82,An Bang Beach Town Homestay,"₫363,636, - ,₫613,636",77,Excellent,14 reviews,"Families,Couples,Solo,Business,Friends"," (,5,) ",1,6
"Group 1, Phuoc Trach, Au Co, Cua Dai, Hoi An 51300 Vietnam",1,45,The Blossom Hoi An Ocean Front Hotel & Spa,"₫1,113,636, - ,₫1,977,273",10,Excellent,13 reviews,"Families,Couples,Solo,Business,Friends"," (,20,) ",1,20
"K101 Nguyen Tri Phuong Street, Cam Nam Ward, Hoi An Vietnam",458,80,Hoi An Hideaway Villa,"₫477,273, - ,₫1,045,455",511,Excellent,96 reviews,"Families,Couples,Solo,Business,Friends"," (,70,) ",3,17
"H1/10 K561 Hai Ba Trung Street, Hoi An Vietnam",118,93,Green garden house,"₫295,455, - ,₫477,273",160,Excellent,23 reviews,"Families,Couples,Solo,Business,Friends"," (,23,) ",3,5
"31 Ngo Si Lien Tan An, Hoi An 560000 Vietnam",6,74,The Linh Homestay,"₫272,727, - ,₫704,545",21,Excellent,12 reviews,"Families,Couples,Solo,Business,Friends"," (,1,) ",1,4
"07 Thai Phien, Hoi An Vietnam",185,89,Hoi An Unique House,"₫386,364, - ,₫750,000",216,Excellent,15 reviews,"Families,Couples,Solo,Business,Friends",,N/A,N/A
"05, Xuan Dieu, Tan An, Hoi An 560000 Vietnam",5,68,OYO 469 Ly's Villa Hoi An,"₫250,000, - ,₫522,727",12,Excellent,12 reviews,"Families,Couples,Solo,Business,Friends"," (,5,) ",2,16
"28 Nguyen Cong Tru Tan An, Hoi An 560000 Vietnam",37,93,Quynh Long Homestay,"₫295,455, - ,₫590,909",106,Excellent,96 reviews,"Families,Couples,Solo,Business,Friends"," (,30,) ",2,10
Hoi An 650000 Vietnam,5,83,AnBang Morning Glory Beach Homestay,"₫590,909, - ,₫704,545",78,Excellent,12 reviews,"Families,Couples,Solo,Business,Friends"," (,26,) ",2,3
"209 Ly Thuong Kiet Street, Hoi An 560000 Vietnam",98,93,Uptown Hotel,"₫750,000, - ,₫1,386,364",153,Excellent,37 reviews,"Families,Couples,Solo,Business,Friends"," (,17,) ",8,15
"621/7 Hai Ba Trung, Hoi An 560000 Vietnam",267,89,Hoi An Heart Lodge,"Vietnam,Quang Nam Province,Hoi An",304,Excellent,8 reviews,"Families,Couples,Solo,Business,Friends"," (,11,) ",2,6
"30 Phan Boi Chau, Hoi An Vietnam",203,94,Tribee Bana,"₫545,455, - ,₫681,818",154,Excellent,80 reviews,"Families,Couples,Solo,Business,Friends"," (,51,) ",1,17
"Lac Long Quan street Tan Thinh Group, Cam An ward, Hoi An Vietnam",2,61,Hidden Beach Bungalow Sea View,"₫977,273, - ,₫1,409,091",60,Very good,35 reviews,"Families,Couples,Solo,Business,Friends"," (,65,) ",2,9
"97/10 Nguyen Tri Phuong Cam Nam, Hoi An 560000 Vietnam",20,80,Yen Villa Hoi An,"₫568,182, - ,₫636,364",18,Excellent,12 reviews,"Families,Couples,Solo,Business,Friends"," (,5,) ",5,6
"28 Thanh Hoa Street, Hoi An Vietnam",6,55,Halo Homestay,"₫272,727, - ,₫340,909",11,Excellent,81 reviews,"Families,Couples,Solo,Business,Friends"," (,40,) ",2,21
"Hai Ba Trung St., Hoi An 560000 Vietnam",5,70,Troical Garden & Pool Villa,"₫409,091, - ,₫727,273",17,Excellent,87 reviews,"Families,Couples,Solo,Business,Friends"," (,59,) ",17,17
"45 Do Dang Tuyen Street Cam Chau ward, Hoi An 500000 Vietnam",10,71,Chau Plus Homestay,"₫250,000, - ,₫568,182",41,Excellent,20 reviews,"Families,Couples,Solo,Business,Friends"," (,14,) ",1,8
"DX18 Cam Thanh, Hoi An 560000 Vietnam",,,Coconut Hamlet Homestay,"₫227,273, - ,₫386,364",,Excellent,12 reviews,"Families,Couples,Solo,Business,Friends",,N/A,N/A
"95 Nguyen Phuc Tan Minh An, Hoi An 560000 Vietnam",106,100,Gold Stone Homestay,"₫409,091, - ,₫590,909",244,Excellent,8 reviews,"Families,Couples,Solo,Business,Friends"," (,13,) ",3,2
"32A Le Quy Don Cam Pho, Hoi An 560000 Vietnam",61,99,Coco Viet Homestay,"₫386,364, - ,₫954,545",124,Excellent,8 reviews,"Families,Couples,Solo,Business,Friends"," (,16,) ",2,20
"141 Nguyen Phan Vinh, Hoi An 560000 Vietnam",5,82,An Bang Star Homestay,"₫636,364, - ,₫863,636",77,Excellent,8 reviews,"Families,Couples,Solo,Business,Friends"," (,1,) ",9,1
"Lac Long Quan - Cam An, Hoi An 05103 Vietnam",1,72,Blue An Bang Villa,"₫613,636, - ,₫2,659,091",24,Excellent,97 reviews,"Families,Couples,Solo,Business,Friends"," (,76,) ",1,6
"446/3 Nguyen Tri Phuong Cam Nam, Hoi An 560000 Vietnam",4,45,Fairy Garden Villa,"₫340,909, - ,₫477,273",22,Excellent,22 reviews,"Families,Couples,Solo,Business,Friends"," (,24,) ",6,17
